name,price,location,reviews,link,date
Lenovo Legion 5 2XID | Ryzen 7 4800H 16GB 512SSD GTX1650Ti 4GB 144Hz,20.000.000,Jakarta Utara, 22,https://www.tokopedia.com/amd-id/lenovo-legion-5-2xid-ryzen-7-4800h-16gb-512ssd-gtx1650ti-4gb-144hz?whid=0,26-11-2020
Lenovo Legion Y545 - i7 9750H 16GB 512SSD 1TB GTX1660Ti 6GB 144Hz,16.599.000,Jakarta Utara, 91,https://www.tokopedia.com/toptech/lenovo-legion-y545-i7-9750h-16gb-512ssd-1tb-gtx1660ti-6gb-144hz-hitam?whid=0,26-11-2020
LENOVO LEGION 5i Core i7-10750H 16GB 512GB GTX1660Ti 6GB 144Hz Win10,21.399.000,Jakarta Barat, 28,https://www.tokopedia.com/sinarmulia/lenovo-legion-5i-core-i7-10750h-16gb-512gb-gtx1660ti-6gb-144hz-win10?whid=0,26-11-2020
Lenovo Legion 5i | i7 10750 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD,17.799.000,Jakarta Utara, 13,https://www.tokopedia.com/laptopgaming/lenovo-legion-5i-i7-10750-16gb-512ssd-gtx1660ti-6gb-w10-15-6fhd?whid=0,26-11-2020
LAPTOP LENOVO LEGION Y740 15IC i7-9750H 16GB 1TB SSD NVIDIA RTX 2060,20.999.000,Jakarta Utara, 7,https://www.tokopedia.com/laptopgaming/laptop-lenovo-legion-y740-15ic-i7-9750h-16gb-1tb-ssd-nvidia-rtx-2060?whid=0,26-11-2020
Lenovo Legion 5i | i7 10750 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD,17.799.000,Jakarta Utara, 13,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosJfH_KfHA1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnfHp1O6_rhbm-srcHi6seFHmFiy3zwrfo5rM1i6sJpo_JXH_1F6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_ea_92VH1NEgpu6zcoE_M2SHJOkz3BHe72kgJxGgMHauMxsQ1N5Z325q1NNoAVoucrp_Ozgo1Y1Z_CvzJuN_1zoq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBvzJjh3uPu8u2JyRzg8j77_SjFHJOEZ_CHucrF_M2oPJOWZM2guJJp33OoH7N919x-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJ2pysoj6cgc_jgZHAVcuchZgB-uo1x983zp3BrOPMzW6cPizOgXyurNP1thH_xMzjNc1snhzBzD1Mg_u_uVuRBjrO29o9gjQ_xSyjP3QMV969uGH_JdgjPR8c-I6_oMZIxp__JdHJOJe_zMZIxayp-3QMgU8I2jzpC2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_7zCP1OJZ_-vzJja_1zgo1Nkz9P681BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_1H7HJY1392oqBuE_jzzP7N1gpu6q1tNUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiqMua8jOdopzD_fU7oZOzoV-y6IxOofuiuVzM3IVty9u0zAx7PfWE3BeN_uuC33Wq1A-gqJ2BrS-e3SzA89u1o7gMoRP1QVBqgpe7b1gyrjgHZIuEySC08Ju71OCD3JhcHu2ooSVe__uSgOzsZO-doV-EQ3xD39BUPA-Uojg6_uUibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sJ7bm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUsthomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sKfoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDioAnF6mUDUsHN6AUibmUp6_KfUiFioAnF6ZUDUsHfUBOY?dv=desktop&page=2&t=desktop&is_search=1&keywords=lenovo+legion&ob=23&src=search&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flaptopgaming%2Flenovo-legion-5i-i7-10750-16gb-512ssd-gtx1660ti-6gb-w10-15-6fhd%3Fsrc%3Dtopads,26-11-2020
LENOVO Legion Y7000 i5-9300H GTX 1650 8GB 512GB SSD Win10 + Office,14.499.900,Jakarta Pusat, 2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoAyf6AHRopUDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnfHp1O6_rhbm-srcHi6seFHmFiy3zwrfo5rM1i6sJpHpUXHsehoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_oHqBu2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1YJZ_VguOuN3jzsPVBE__z68_nF_92-HJh1gpC6qjO7_3OGqBB1e_ogQ17p_BPz8JB2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3-JZSoiHfedgjg6zBUFH1g1QV-M1B1OZVPNgIoqupufgc7dgf-IuMNxupBOZsJh6cgc_jgZHAVcuchZgBouo1u983zp3BrOPMzW6cPizOgXyurNP1thH_xMzRPdyjrNHfgU8IooH_KF_1zCocgU8I-sHBgXgjxd8MzIHcBHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9B6uVVO_BzoP7O1Z_u6qjja_92z8JN2Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_o6q_eh_S2CoJO1qpzozV1h_uzCP7NAZsjibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-kg9-E_9KRochvyseObuJ71BKd8I1Rg3-1ucgyr3xxP3WJ6IzRqR2quABou1VgqO2eHBBtZMuarBCqPJoNPueRzMyRPOzD3u2SoAeWzBxazjhUP92ircWdz9z_1chy_Jyh3j7fruCoo3PSucob1SK71S2Wqchg81x7HjKfzjNo1iUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_eDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sJ7bm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsjfoseDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAKibmUp6_KaUiFiHpjdoiUDUseFHAjibmUpoi-Pwe?r=https%3A%2F%2Fwww.tokopedia.com%2Fprinterstore%2Flenovo-legion-y7000-i5-9300h-gtx-1650-8gb-512gb-ssd-win10-office%3Fsrc%3Dtopads&is_search=1&t=desktop&management_type=2&keywords=lenovo+legion&page=2&ob=23&dv=desktop&src=search,26-11-2020
Lenovo Legion Y545 15iRH i7-9750H RAM 16GB 512GBSSD-1TB GTX1660Ti 6GB,16.599.000,Jakarta Utara, 15,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoAKhHsjOHpeDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnfHp1O6_rhbm-srcHi6seFHmFiy3zwrfo5rM1i6sJpoAUXoAJOHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_VHqMod_jz-oJN1yRx6zJj7_Bzs8JNAZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1j7_323qV21ZMW68_Vk_92SH7h1192oqBV7_7zzHjONHIBgQ1Nt_1zjquBEypVqzJu2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p_3OdPMep8AxuHVgUuVu3_Ogc61g1qfziZs-dQc-W6_-i81-p3BPjrcUaocNy3IKdu_C3ZVzuujY3zsBGucWZyjta8chiQ_jaySBmrO29gICiHszX3Vxd6c-JzSoiHfedgjPR8BxE19PozcKdgjP78B29gAxMZJdFyBo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-HjN_oAzvzJJ7_1z-oJNJ__-vzVja_jo-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-H7YAoA-vzJj7_320HJOkqR26qjudZ3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUM2BrS2o8Ar7QJYioA1W1_zZ3AxdP_PByBz1gBxhqcVOq7edPIP08B2161OueuB03Bna33xGg9-a1V27eRBOuAPcgsPRuchg3Mr7omOc3I-c_JxO8M-FqRxVPVoeQVxHzsVq__gh1J7OgfP1y7WZ8AzZ8MOtQVBNZIeaZAgc_jOZUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthomFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEH_eDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstdosyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAKibmUp6_KaUiFiHpjdoiUDUseFHAjibmUpoi-Pwe?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Flaptopgaming%2Flenovo-legion-y545-15irh-i7-9750h-ram-16gb-512gbssd-1tb-gtx1660ti-6gb%3Fsrc%3Dtopads&is_search=1&keywords=lenovo+legion&ob=23&src=search&page=2&dv=desktop&management_type=1,26-11-2020
Lenovo Legion 5i GTX1660Ti 6G i7 10750 16GB SSD 512GB W10 15.6FHD RGB,17.799.000,Jakarta Utara, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEos1NHsedopyDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnfHp1O6_rhbm-srcHi6srFHmFiy3zwrfo5rM1i6sJpHAyX6AUd6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9xoe7BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-oJOkuMxquJ20_SjhqjOEgpoHuVVE_32zPJYJ1_-o8_CN33O6qJOJgcBg8MHh3jzVq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr7OW8IgjHRKdu_C3ZVzuujY3zsBcucWjyjta8chiQ_jaySBmrO29gICiHszX3Vxd6V1Fujx1uugvujyNZBz01M-GHSxDyM7NHM-NeSoqufzFysU7QBxy8AxizJgpysoj6cgIPR2y8BVR_1zt6cgIPI2qufedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_z61pzR_jzoH1NJu_zoucrp_OzuoJN_Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_oo1pzN_Ozu8JNkgpVvzcDa_BoG6ZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUM2BrS2o8Ar7QJYioA1W1_zZ3AxdP_PByBz1gBxhqcVOq7edPIP08B2161OueuB03Bna33xGg9-a1V27eRBOuAPcgsPRuchg3Mr7omOc3I-c_JxO8M-FqRxVPVoeQVxHzsVq__gh1J7OgfP1y7WZ8AzZ8MOtQVBNZIeaZAgc_jOZUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthomFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEH_eDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstdosyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAKibmUp6_KaUiFiHpjdoiUDUseFHAjibmUpoi-Pwe?t=desktop&keywords=lenovo+legion&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fikasayucomp%2Flenovo-legion-5i-gtx1660ti-6g-i7-10750-16gb-ssd-512gb-w10-15-6fhd-rgb%3Fsrc%3Dtopads&is_search=1&page=2&dv=desktop&src=search&ob=23,26-11-2020
LENOVO Legion Y540 i7-9750H GTX 1650 16GB 512GB SSD Win10 Home,16.999.900,Jakarta Pusat, 10,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopHO6_nho_jDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnfHp1O6_rhbm-srcHi6seFHmFiy3zwrfo5rM1i6sJpHAyXHArdoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_zR_92C8jOJ_9Po8jVE_1zoP7OEe92-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19uo8MHO_Bzg81OJ19268MDh_M2-q1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBvzJjh3uPu8u2JyRzg8j77_SjFHJOEZ_CHucrF_M2oPJOWZM2guJJp33OoH7N919x-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJ2pysoj6cgc_jgZHAVcuchZgB-uo1x983zp3BrOPMzW6cPizOgXyurNP1thH_xMzjNc1snhzBzD1Mg_u_uVuRBjrO29o9gjQ_xSyjP3QMV969uGH_JdgjPR8c-I6_oMZIxp__JdHJOJe_zMZIxayp-3QMgU8I2jzpC2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_S2CP1N1z_uouJuE_jz0P7NkqRP6uJO2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_S2VP1O1__u6zJOE_OzzH1Nke_--QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiqMua8jOdopzD_fU7oZOzoV-y6IxOofuiuVzM3IVty9u0zAx7PfWE3BeN_uuC33Wq1A-gqJ2BrS-e3SzA89u1o7gMoRP1QVBqgpe7b1gyrjgHZIuEySC08Ju71OCD3JhcHu2ooSVe__uSgOzsZO-doV-EQ3xD39BUPA-Uojg6_uUibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sJ7bm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUsthomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sKfoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDioAnF6mUDUsHN6AUibmUp6_KfUiFioAnF6ZUDUsHfUBOY?t=desktop&dv=desktop&keywords=lenovo+legion&page=2&src=search&ob=23&management_type=2&r=https%3A%2F%2Fwww.tokopedia.com%2Fprinterstore%2Flenovo-legion-y540-i7-9750h-gtx-1650-16gb-512gb-ssd-win10-home%3Fsrc%3Dtopads&is_search=1,26-11-2020
Lenovo Legion 5i 6MID i7 10750H 16GB 512ssd GTX1650 4GB W10+OHS 144hz,18.299.000,Jakarta Utara, 3,https://www.tokopedia.com/royalltech/lenovo-legion-5i-6mid-i7-10750h-16gb-512ssd-gtx1650-4gb-w10-ohs-144hz?whid=0,26-11-2020
"LENOVO LEGION Y540-15IRH - i7-9750H 16GB 512GB GTX1650 4GB 15.6"" 144Hz",17.999.000,Jakarta Pusat, 6,https://www.tokopedia.com/collinsofficial/lenovo-legion-y540-15irh-i7-9750h-16gb-512gb-gtx1650-4gb-15-6-144hz?whid=0,26-11-2020
Lenovo Legion 5 2XID AMD R7-4800H 16GB 512ssd GTX1650Ti 4GB W10+OHS,18.799.000,Jakarta Utara, 1,https://www.tokopedia.com/rogsstoreid/lenovo-legion-5-2xid-amd-r7-4800h-16gb-512ssd-gtx1650ti-4gb-w10-ohs?whid=0,26-11-2020
Lenovo Legion 5i i7 10750 16GB 1TB+256ssd RTX2060 6GB W10 15.6FHD CLID,21.699.000,Jakarta Utara, 3,https://www.tokopedia.com/laptopgaming/lenovo-legion-5i-i7-10750-16gb-1tb-256ssd-rtx2060-6gb-w10-15-6fhd-clid?whid=0,26-11-2020
Lenovo Legion 5 15ARH 144Hz Ryzen 7 4800H 16GB 512ssd GTX1660Ti 6GB,17.899.000,Jakarta Pusat, 1,https://www.tokopedia.com/haercom/lenovo-legion-5-15arh-144hz-ryzen-7-4800h-16gb-512ssd-gtx1660ti-6gb?whid=0,26-11-2020
Lenovo Legion 5i i7 10750 RTX2060 16GB 1TB+256ssd 6GB W10 FHD -CLID,22.799.000,Jakarta Utara, 1,https://www.tokopedia.com/seits/lenovo-legion-5i-i7-10750-rtx2060-16gb-1tb-256ssd-6gb-w10-fhd-clid?whid=0,26-11-2020
Lenovo legion 5i I7 10750 16gb 512ssd gtx1660ti 6gb W10 15.6fhd,17.799.000,Jakarta Utara, 6,https://www.tokopedia.com/prostorecomputer/lenovo-legion-5i-i7-10750-16gb-512ssd-gtx1660ti-6gb-w10-15-6fhd-unit?whid=0,26-11-2020
LENOVO LEGION 5i - i7-10750H 16GB 1TB+256GB SSD RTX2060 6GB W10 144Hz,22.999.000,Jakarta Barat, 4,https://www.tokopedia.com/spacetech/lenovo-legion-5i-i7-10750h-16gb-1tb-256gb-ssd-rtx2060-6gb-w10-144hz?whid=0,26-11-2020
LENOVO LEGION Y7000SE-0YID I5-9300H 8GB 512GB SSD GTX1650 4GB W10,13.999.000,Jakarta Pusat, 1,https://www.tokopedia.com/globalpersadasys/lenovo-legion-y7000se-0yid-i5-9300h-8gb-512gb-ssd-gtx1650-4gb-w10?whid=0,26-11-2020
Lenovo Legion 5 2XID AMD Ryzen 7 4800H 16GB 512ssd GTX1650Ti 4GB W10,18.799.000,Jakarta Pusat, 3,https://www.tokopedia.com/allkomputejkt/lenovo-legion-5-2xid-amd-ryzen-7-4800h-16gb-512ssd-gtx1650ti-4gb-w10-hitam?whid=0,26-11-2020
Lenovo Legion 5i | i7 10750 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD,17.799.000,Jakarta Utara, 13,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosJfH_KfHA1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnfHp1O6_rNbm-srcHi6seFHmFiy3zwrfo5rM1i6sJpo_HXHsHOomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_eh_M2z8JOJZ_V6qBVd_1z-H1Nk13BHe72kgJxGgMHauMxsQ1N5Z325q1YAoA-vuV1a_Bz-8JNE__uouJOR_jzoq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBvucz2_1PcqjOI_9z68jJa_3jFHJN9Z_uHu7g2_32uPJdazMWozcoN_1Pu8JY1Z_C-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJ2pysoj6cgc_jgZHAVcuchZgB-uo1x983zp3BrOPMzW6cPizOgXyurNP1thH_xMzjNc1snhzBzD1Mg_u_uVuRBjrO29o9gjQ_xSyjP3QMV969uGH_JdgjPR8c-I6_oMZIxp__JdHJOJe_zMZIxayp-3QMgU8I2jzpC2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_S20P1Y1qpovzcrh_OzzoJOEe_V6zVu2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_7zCP1Y1Z_uozcrF_92uP7Y1__--QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiqMua8jOdopzD_fU7oZOzoV-y6IxOofuiuVzM3IVty9u0zAx7PfWE3BeN_uuC33Wq1A-gqJ2BrS-e3SzA89u1o7gMoRP1QVBqgpe7b1gyrjgHZIuEySC08Ju71OCD3JhcHu2ooSVe__uSgOzsZO-doV-EQ3xD39BUPA-Uojg6_uUibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sJ7bm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUsthomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sKfoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDioAnF6mUDUsHN6AUibmUp6_KfUiFioAnF6ZUDUsHfUBOY?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Flaptopgaming%2Flenovo-legion-5i-i7-10750-16gb-512ssd-gtx1660ti-6gb-w10-15-6fhd%3Fsrc%3Dtopads&src=search&page=3&ob=23&dv=desktop&keywords=lenovo+legion&is_search=1&management_type=1,26-11-2020
LENOVO Legion Y7000 i5-9300H GTX 1650 8GB 512GB SSD Win10 + Office,14.499.900,Jakarta Pusat, 2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoAyf6AHRopUDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnfHp1O6_rNbm-srcHi6seFHmFiy3zwrfo5rM1i6sJpHpUXHsehoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_oHqBu2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1Y1gcBoz7gk_1PoPJNEe_-oq_nF_BP-o1h9zMBoqBu7_s-cq7OJyRBozOud_Oz-HJB2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3-JZSoiHfedgjg6zBUFH1g1QV-M1B1OZVPNgIoqupufgc7dgf-IuMNxupBOZsJh6cgc_jgZHAVcuchZgBouo1u983zp3BrOPMzW6cPizOgXyurNP1thH_xMzRPdyjrNHfgU8IooH_KF_1zCocgU8I-sHBgXgjxd8MzIHcBHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9B6uVVO_BzoP7O1Z_u6qjja_92z8JN2Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_o6q_eh_S2CoJO1qpzozV1h_uzCP7NAZsjibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-kg9-E_9KRochvyseObuJ71BKd8I1Rg3-1ucgyr3xxP3WJ6IzRqR2quABou1VgqO2eHBBtZMuarBCqPJoNPueRzMyRPOzD3u2SoAeWzBxazjhUP92ircWdz9z_1chy_Jyh3j7fruCoo3PSucob1SK71S2Wqchg81x7HjKfzjNo1iUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_eDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sJ7bm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsjfoseDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAKibmUp6_KaUiFiHpjdoiUDUseFHAjibmUpoi-Pwe?t=desktop&is_search=1&ob=23&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fprinterstore%2Flenovo-legion-y7000-i5-9300h-gtx-1650-8gb-512gb-ssd-win10-office%3Fsrc%3Dtopads&management_type=2&page=3&src=search&keywords=lenovo+legion,26-11-2020
